archivo,agente,fecha,duracion_seg,primer_plan
amza10_1_260116135216476_MIT_01982_transcripcion.json,MZA 10,16/01,451,
amza10_1_260116141102535_ACD_91115_transcripcion.json,MZA 10,16/01,62,
amza10_1_260116141415955_ACD_04401_transcripcion.json,MZA 10,16/01,71,
amza10_1_260116142323931_ACD_34389_transcripcion.json,MZA 10,16/01,170,8gb
amza13_1_260112102527582_ACD_78491_transcripcion.json,MZA 13,12/01,428,
amza13_1_260112105616861_ACD_04409_transcripcion.json,MZA 13,12/01,389,
amza13_1_260112112457497_ACD_14055_transcripcion.json,MZA 13,12/01,151,8gb
amza13_1_260112121555149_ACD_80741_transcripcion.json,MZA 13,12/01,75,
amza13_1_260112130220175_ACD_68673_transcripcion.json,MZA 13,12/01,67,
amza13_1_260113103518018_ACD_51635_transcripcion.json,MZA 13,13/01,100,
amza13_1_260113120009354_ACD_12541_transcripcion.json,MZA 13,13/01,89,
amza13_1_260113121500733_ACD_54895_transcripcion.json,MZA 13,13/01,175,
amza13_1_260113125929007_ACD_34567_transcripcion.json,MZA 13,13/01,62,
amza13_1_260113130410910_ACD_48979_transcripcion.json,MZA 13,13/01,64,
amza13_1_260113130714896_ACD_58845_transcripcion.json,MZA 13,13/01,122,
amza13_1_260113131149192_ACD_73501_transcripcion.json,MZA 13,13/01,76,
amza13_1_260113132029698_ACD_01661_transcripcion.json,MZA 13,13/01,140,
amza13_1_260113132953286_ACD_30859_transcripcion.json,MZA 13,13/01,206,4gb
amza13_1_260113134203510_ACD_72549_transcripcion.json,MZA 13,13/01,957,
amza13_1_260113143039533_ACD_40839_transcripcion.json,MZA 13,13/01,62,
amza13_1_260113143955621_ACD_72339_transcripcion.json,MZA 13,13/01,61,
amza13_1_260114102949780_ACD_23737_transcripcion.json,MZA 13,14/01,258,
amza13_1_260114103809409_ACD_45931_transcripcion.json,MZA 13,14/01,215,
amza13_1_260114105438411_ACD_94483_transcripcion.json,MZA 13,14/01,775,4gb
amza13_1_260114113147231_ACD_02875_transcripcion.json,MZA 13,14/01,60,
amza13_1_260114130406716_ACD_96493_transcripcion.json,MZA 13,14/01,92,
amza13_1_260114144522563_ACD_94805_transcripcion.json,MZA 13,14/01,116,
amza13_1_260115101218375_ACD_65593_transcripcion.json,MZA 13,15/01,73,
amza13_1_260115110419452_ACD_07985_transcripcion.json,MZA 13,15/01,67,
amza13_1_260115111018286_ACD_30155_transcripcion.json,MZA 13,15/01,69,
amza13_1_260115114640023_ACD_58723_transcripcion.json,MZA 13,15/01,165,
amza13_1_260115133547757_ACD_29795_transcripcion.json,MZA 13,15/01,75,
amza13_1_260115135743643_ACD_02883_transcripcion.json,MZA 13,15/01,123,
amza13_1_260115140735516_ACD_38929_transcripcion.json,MZA 13,15/01,89,
amza13_1_260115145333396_ACD_93265_transcripcion.json,MZA 13,15/01,123,
amza13_1_260116113600073_ACD_41349_transcripcion.json,MZA 13,16/01,105,
amza13_1_260116115410881_ACD_03079_transcripcion.json,MZA 13,16/01,322,8gb
amza13_1_260116120007409_ACD_20937_transcripcion.json,MZA 13,16/01,114,
amza13_1_260116120311341_ACD_29379_transcripcion.json,MZA 13,16/01,136,
