archivo,agente,fecha,descuento_dia,duracion_seg,primer_plan
amza26_1_260116145103893_ACD_28083_transcripcion.json,MZA 26,16/01,80%,155,
amza27_1_260114141429169_ACD_05029_transcripcion.json,MZA 27,14/01,80%,82,
amza27_1_260114142037171_ACD_23483_transcripcion.json,MZA 27,14/01,80%,84,
amza27_1_260115110837003_MIT_01956_transcripcion.json,MZA 27,15/01,80%,62,
amza27_1_260115114817435_ACD_63705_transcripcion.json,MZA 27,15/01,80%,168,
amza27_1_260115120632568_ACD_17747_transcripcion.json,MZA 27,15/01,80%,88,
amza27_1_260115121344718_ACD_37685_transcripcion.json,MZA 27,15/01,80%,99,
amza27_1_260115121641701_ACD_45965_transcripcion.json,MZA 27,15/01,80%,62,
amza27_1_260115131610738_MIT_01964_transcripcion.json,MZA 27,15/01,80%,68,
amza27_1_260115132456868_ACD_97147_transcripcion.json,MZA 27,15/01,80%,1187,
amza27_1_260115141846084_ACD_81091_transcripcion.json,MZA 27,15/01,80%,101,
amza27_1_260116112409686_ACD_01697_transcripcion.json,MZA 27,16/01,80%,161,
amza27_1_260116112822771_ACD_17413_transcripcion.json,MZA 27,16/01,80%,65,
amza27_1_260116113016436_ACD_23881_transcripcion.json,MZA 27,16/01,80%,122,
amza27_1_260116114921703_ACD_87945_transcripcion.json,MZA 27,16/01,80%,112,
amza27_1_260116120750920_ACD_38463_transcripcion.json,MZA 27,16/01,80%,78,
amza27_1_260116120958167_ACD_40805_transcripcion.json,MZA 27,16/01,80%,137,
amza27_1_260116145819554_ACD_50803_transcripcion.json,MZA 27,16/01,80%,75,
amza28_1_260113141116735_ACD_78103_transcripcion.json,MZA 28,13/01,80%,293,
amza28_1_260113143541604_ACD_58975_transcripcion.json,MZA 28,13/01,80%,73,
amza28_1_260113145149804_ACD_16947_transcripcion.json,MZA 28,13/01,80%,80,
amza28_1_260114145435591_ACD_25117_transcripcion.json,MZA 28,14/01,80%,89,
amza28_1_260115110730802_MIT_01948_transcripcion.json,MZA 28,15/01,80%,162,
amza28_1_260115120156444_ACD_06427_transcripcion.json,MZA 28,15/01,80%,118,
amza28_1_260115131745565_ACD_76467_transcripcion.json,MZA 28,15/01,80%,239,
amza28_1_260115132718416_ACD_03227_transcripcion.json,MZA 28,15/01,80%,663,
amza28_1_260116120220170_ACD_27007_transcripcion.json,MZA 28,16/01,80%,60,
amza28_2_260115132718416_ACD_03227_transcripcion.json,MZA 28,15/01,80%,663,
amza29_1_260113141050603_ACD_76249_transcripcion.json,MZA 29,13/01,80%,78,
amza29_1_260113141739024_ACD_00813_transcripcion.json,MZA 29,13/01,80%,69,
amza29_1_260113143803113_ACD_66149_transcripcion.json,MZA 29,13/01,80%,71,
amza29_1_260114141313657_ACD_00959_transcripcion.json,MZA 29,14/01,80%,82,
amza29_1_260114144313723_ACD_87757_transcripcion.json,MZA 29,14/01,80%,71,
amza29_1_260115111313144_ACD_40223_transcripcion.json,MZA 29,15/01,80%,93,
amza29_1_260115115330952_ACD_79583_transcripcion.json,MZA 29,15/01,80%,124,
amza29_1_260115120557321_ACD_16147_transcripcion.json,MZA 29,15/01,80%,67,
amza29_1_260115133457292_ACD_26947_transcripcion.json,MZA 29,15/01,80%,75,
amza29_1_260115140140365_ACD_16321_transcripcion.json,MZA 29,15/01,80%,81,8gb
amza29_1_260115145344409_ACD_93877_transcripcion.json,MZA 29,15/01,80%,218,
amza29_1_260115145949554_ACD_11449_transcripcion.json,MZA 29,15/01,80%,65,
amza29_1_260116102432982_ACD_74889_transcripcion.json,MZA 29,16/01,80%,167,
amza29_1_260116111700142_ACD_74021_transcripcion.json,MZA 29,16/01,80%,89,
amza29_1_260116113610129_ACD_41839_transcripcion.json,MZA 29,16/01,80%,70,
amza29_1_260116134339330_ACD_87387_transcripcion.json,MZA 29,16/01,80%,87,
amza29_1_260116142647869_ACD_44045_transcripcion.json,MZA 29,16/01,80%,81,
amza29_1_260116143248672_ACD_64135_transcripcion.json,MZA 29,16/01,80%,197,
amza29_1_260116144136273_ACD_93859_transcripcion.json,MZA 29,16/01,80%,0,
amza2_1_260114102722441_MIT_01993_transcripcion.json,MZA 2,14/01,80%,999,
